name,value
"p[MIDDLEBOROUGH2_MA,7]",644.4390851958241
"p[HYANNIS2_MA,7]",699.9999999999998
"p[BRATTLEBORO2_VT,7]",-0.0
"p[AUGUSTA2_ME,7]",700.0000000000005
"p[KINGSTON_NY,7]",-793.5
"p[ALBANY_NY,8]",-0.0
"p[GREENFIELD_MA,8]",-0.0
"p[HOLYOKE_MA,8]",-220.64084000000003
"p[HARTFORD_CT,8]",-322.39
"p[PROSPECT_CT,8]",-251.60369059885144
"p[NEWHAVEN_CT,8]",-0.0
"p[ANSONIA_CT,8]",-150.74956400000002
"p[SOUTHBURY_CT,8]",-336.57516
"p[DANBURY_CT,8]",-0.0
"p[GROTON_CT,8]",-0.0
"p[NEWLONDON_CT,8]",-0.0
"p[NEWLONDON2_CT,8]",-4.83585
"p[GROTON2_CT,8]",-0.0
"p[MARLBOROUGH_CT,8]",-0.0
"p[PROVIDENCE_RI,8]",-211.2128
"p[BOSTON_MA,8]",-158.15167743192066
"p[WORCESTER_MA,8]",-0.0
"p[BRIMFIELD_MA,8]",-108.26476000000001
"p[FALLRIVER_MA,8]",-0.0
"p[FALLRIVER2_MA,8]",-430.31816000000003
"p[BROCKTON_MA,8]",-251.49600636956245
"p[MIDDLEBOROUGH_MA,8]",-0.0
"p[HYANNIS_MA,8]",-188.09289
"p[QUINCY_MA,8]",-211.45889200000002
"p[BRATTLEBORO_VT,8]",-168.53984
"p[NASHUA_NH,8]",-96.71203
"p[LITTLETON_MA,8]",-61.42726258880818
"p[PORTLAND_ME,8]",-169.26608
"p[AUGUSTA_ME,8]",-213.87926647598496
"p[TURNERSFALLS_MA,8]",700.0000000000014
"p[NEWHAVEN2_CT,8]",557.3258732708497
"p[MYSTIC_CT,8]",-0.0
"p[FALLRIVER4_MA,8]",430.3181599999962
"p[FALLRIVER3_MA,8]",700.0000000000045
"p[MIDDLEBOROUGH2_MA,8]",624.0675361942754
"p[HYANNIS2_MA,8]",699.9999999999993
"p[BRATTLEBORO2_VT,8]",-0.0
"p[AUGUSTA2_ME,8]",700.0000000000007
"p[KINGSTON_NY,8]",-856.0967999999999
"p[ALBANY_NY,9]",-0.0
"p[GREENFIELD_MA,9]",-0.0
"p[HOLYOKE_MA,9]",-240.56298
"p[HARTFORD_CT,9]",-351.845
"p[PROSPECT_CT,9]",-62.66080127873963
"p[NEWHAVEN_CT,9]",-0.0
"p[ANSONIA_CT,9]",-164.52272200000002
"p[SOUTHBURY_CT,9]",-367.32618
"p[DANBURY_CT,9]",-0.0
"p[GROTON_CT,9]",-0.0
"p[NEWLONDON_CT,9]",-0.0
"p[NEWLONDON2_CT,9]",-5.277675
"p[GROTON2_CT,9]",-0.0
"p[MARLBOROUGH_CT,9]",-0.0
"p[PROVIDENCE_RI,9]",-232.17919999999998
"p[BOSTON_MA,9]",-223.23877824044715
"p[WORCESTER_MA,9]",-0.0
"p[BRIMFIELD_MA,9]",-118.04022
"p[FALLRIVER_MA,9]",-0.0
"p[FALLRIVER2_MA,9]",-469.17252
"p[BROCKTON_MA,9]",-140.95693363043756
"p[MIDDLEBOROUGH_MA,9]",-0.0
"p[HYANNIS_MA,9]",-205.07620500000002
"p[QUINCY_MA,9]",-230.55197400000003
"p[BRATTLEBORO_VT,9]",-181.48704
